unit,cad_number,agency,call_type,origunit,unit_enroute_date,priority,disposition,primary_unit,beat,rep_dist,call_created_time,call_entry_date,call_entry_time,unit_dispatch_date,unit_dispatch_time,unit_enroute_time,unit_onscene_date,unit_onscene_time,turnout_seconds,call,call_no2,arrivalstatus,report_category,turnout_compliance,battalion,unit_type,unit_enroute_date_clean,unit_enroute_date_parsed,call_entry_date_clean,call_entry_date_parsed,unit_dispatch_date_clean,unit_dispatch_date_parsed,unit_onscene_date_clean,unit_onscene_date_parsed,call_created_time_time_string,call_created_time_numeric,call_entry_time_time_string,call_entry_time_numeric,unit_dispatch_time_time_string,unit_dispatch_time_numeric,unit_enroute_time_time_string,unit_enroute_time_numeric,unit_onscene_time_time_string,unit_onscene_time_numeric,turnout_seconds_numeric,turnout_minutes,turnout_compliance_clean,met_turnout,dispatch_date,dispatch_day,dispatch_month,dispatch_hour
LD042,S100000035,PCFR,53A02,LD042,2/9/26 0:00,A1,COM,LD042,42N,F33B,101029,2/9/26 0:00,101105,2/9/26 0:00,101218,101230.0,2/9/26 0:00,102213.0,12.0,S100000035,S100000035,AOS,Other,,Battalion 2,Ladder,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,10:10:29,101029,10:11:05,101105,10:12:18,101218,10:12:30,101230.0,10:22:13,102213.0,12.0,0.2,Nan,False,2026-02-09,Monday,February,10
LD042,S100000036,PCFR,56A01,LD042,2/9/26 0:00,A1,COM,LD042,42N,F33B,81614,2/9/26 0:00,81635,2/9/26 0:00,81654,81729.0,2/9/26 0:00,82334.0,35.0,S100000036,S100000036,AOS,Fire,Met,Battalion 2,Ladder,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,08:16:14,81614,08:16:35,81635,08:16:54,81654,08:17:29,81729.0,08:23:34,82334.0,35.0,0.5833333333333334,Met,True,2026-02-09,Monday,February,8
LD042,S100000037,PCFR,53A02,LD042,2/9/26 0:00,A1,COM,LD042,42N,F33B,101029,2/9/26 0:00,101105,2/9/26 0:00,101218,101230.0,2/9/26 0:00,102213.0,12.0,S100000037,S100000037,AOS,Other,,Battalion 2,Ladder,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,10:10:29,101029,10:11:05,101105,10:12:18,101218,10:12:30,101230.0,10:22:13,102213.0,12.0,0.2,Nan,False,2026-02-09,Monday,February,10
MD009,S100000038,PCFR,OOS,MD009,2/9/26 0:00,OS,,MD009,,,83056,2/9/26 0:00,83056,2/9/26 0:00,83056,83056.0,2/9/26 0:00,83056.0,0.0,S100000038,S100000038,AOS,Omit,,Battalion 6,Rescue,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,08:30:56,83056,08:30:56,83056,08:30:56,83056,08:30:56,83056.0,08:30:56,83056.0,0.0,0.0,Nan,False,2026-02-09,Monday,February,8
MD022,S100000039,PCFR,10C03,MD022,2/9/26 0:00,C1,COM,MD022,23,F23D,84446,2/9/26 0:00,84508,2/9/26 0:00,84543,84619.0,2/9/26 0:00,85252.0,36.0,S100000039,S100000039,AOS,EMS,Met,Battalion 1,Rescue,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,08:44:46,84446,08:45:08,84508,08:45:43,84543,08:46:19,84619.0,08:52:52,85252.0,36.0,0.6,Met,True,2026-02-09,Monday,February,8
MD034,S100000040,PCFR,OOS,MD034,2/9/26 0:00,OS,,MD034,,,111108,2/9/26 0:00,111108,2/9/26 0:00,111108,111108.0,2/9/26 0:00,111108.0,0.0,S100000040,S100000040,AOS,Omit,,Battalion 3,Rescue,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,11:11:08,111108,11:11:08,111108,11:11:08,111108,11:11:08,111108.0,11:11:08,111108.0,0.0,0.0,Nan,False,2026-02-09,Monday,February,11
MD216,S100000041,PCFR,28C01J,MD216,2/9/26 0:00,C1,COM,MD216,16,F560G,83854,2/9/26 0:00,83930,2/9/26 0:00,83958,84043.0,2/9/26 0:00,85033.0,45.0,S100000041,S100000041,AOS,EMS,Met,Battalion 4,Rescue,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,08:38:54,83854,08:39:30,83930,08:39:58,83958,08:40:43,84043.0,08:50:33,85033.0,45.0,0.75,Met,True,2026-02-09,Monday,February,8
MR002,S100000042,PCFR,26A08,MR002,2/9/26 0:00,A1,COM,MR002,2,F02D,91447,2/9/26 0:00,91514,2/9/26 0:00,91556,91602.0,2/9/26 0:00,91848.0,6.0,S100000042,S100000042,AOS,EMS,Met,Battalion 6,Rescue,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,09:14:47,91447,09:15:14,91514,09:15:56,91556,09:16:02,91602.0,09:18:48,91848.0,6.0,0.1,Met,True,2026-02-09,Monday,February,9
MR002,S100000043,PCFR,26A02,MR002,2/9/26 0:00,A1,,MR002,2,F02A,101236,2/9/26 0:00,101441,2/9/26 0:00,101513,101527.0,2/9/26 0:00,103248.0,14.0,S100000043,S100000043,AOS,EMS,Met,Battalion 6,Rescue,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,10:12:36,101236,10:14:41,101441,10:15:13,101513,10:15:27,101527.0,10:32:48,103248.0,14.0,0.23333333333333334,Met,True,2026-02-09,Monday,February,10
MR006,S100000044,PCFR,26A08,MR006,2/9/26 0:00,A1,COM,MR006,6,F06A,81111,2/9/26 0:00,81239,2/9/26 0:00,81309,81332.0,2/9/26 0:00,82728.0,23.0,S100000044,S100000044,AOS,EMS,Met,Battalion 1,Rescue,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,08:11:11,81111,08:12:39,81239,08:13:09,81309,08:13:32,81332.0,08:27:28,82728.0,23.0,0.38333333333333336,Met,True,2026-02-09,Monday,February,8
MR006,S100000045,PCFR,01C05,MR006,2/9/26 0:00,C1,,MR006,6,F06A,103952,2/9/26 0:00,104027,2/9/26 0:00,104057,104110.0,2/9/26 0:00,104922.0,13.0,S100000045,S100000045,AOS,EMS,Met,Battalion 1,Rescue,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,10:39:52,103952,10:40:27,104027,10:40:57,104057,10:41:10,104110.0,10:49:22,104922.0,13.0,0.21666666666666667,Met,True,2026-02-09,Monday,February,10
MR007,S100000046,PCFR,OOS,MR007,2/9/26 0:00,OS,,MR007,,,95914,2/9/26 0:00,95914,2/9/26 0:00,95914,95914.0,2/9/26 0:00,95914.0,0.0,S100000046,S100000046,AOS,Omit,,Battalion 2,Rescue,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,09:59:14,95914,09:59:14,95914,09:59:14,95914,09:59:14,95914.0,09:59:14,95914.0,0.0,0.0,Nan,False,2026-02-09,Monday,February,9
MR011,S100000047,PCFR,OOS,MR011,2/9/26 0:00,OS,,MR011,,,85326,2/9/26 0:00,85326,2/9/26 0:00,85326,85326.0,2/9/26 0:00,85326.0,0.0,S100000047,S100000047,AOS,Omit,,Battalion 7,Rescue,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,08:53:26,85326,08:53:26,85326,08:53:26,85326,08:53:26,85326.0,08:53:26,85326.0,0.0,0.0,Nan,False,2026-02-09,Monday,February,8
MR012,S100000048,PCFR,26D01,MR012,2/9/26 0:00,D1,COM,MR012,12,F930E,90110,2/9/26 0:00,90149,2/9/26 0:00,90216,90219.0,2/9/26 0:00,91539.0,3.0,S100000048,S100000048,AOS,EMS,Met,Battalion 7,Rescue,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,09:01:10,90110,09:01:49,90149,09:02:16,90216,09:02:19,90219.0,09:15:39,91539.0,3.0,0.05,Met,True,2026-02-09,Monday,February,9
MR014,S100000049,PCFR,OOS,MR014,2/9/26 0:00,OS,,MR014,,,82429,2/9/26 0:00,82429,2/9/26 0:00,82429,82429.0,2/9/26 0:00,82429.0,0.0,S100000049,S100000049,AOS,Omit,,Battalion 7,Rescue,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,08:24:29,82429,08:24:29,82429,08:24:29,82429,08:24:29,82429.0,08:24:29,82429.0,0.0,0.0,Nan,False,2026-02-09,Monday,February,8
MR015,S100000050,PCFR,29,MR015,2/9/26 0:00,PA,COM,MR015,15,F15B,92923,2/9/26 0:00,93035,2/9/26 0:00,93105,93127.0,2/9/26 0:00,93608.0,22.0,S100000050,S100000050,AOS,EMS,Met,Battalion 6,Rescue,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,09:29:23,92923,09:30:35,93035,09:31:05,93105,09:31:27,93127.0,09:36:08,93608.0,22.0,0.36666666666666664,Met,True,2026-02-09,Monday,February,9
MR017,S100000051,PCFR,26C02,MR017,2/9/26 0:00,C1,,MR017,17,F17A,101623,2/9/26 0:00,101715,2/9/26 0:00,101746,101750.0,2/9/26 0:00,102456.0,4.0,S100000051,S100000051,AOS,EMS,Met,Battalion 4,Rescue,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,10:16:23,101623,10:17:15,101715,10:17:46,101746,10:17:50,101750.0,10:24:56,102456.0,4.0,0.06666666666666667,Met,True,2026-02-09,Monday,February,10
MR017,S100000052,PCFR,26A08,MR017,2/9/26 0:00,A1,COM,MR017,17,F17C,80332,2/9/26 0:00,80408,2/9/26 0:00,80458,80501.0,2/9/26 0:00,81520.0,3.0,S100000052,S100000052,AOS,EMS,Met,Battalion 4,Rescue,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,08:03:32,80332,08:04:08,80408,08:04:58,80458,08:05:01,80501.0,08:15:20,81520.0,3.0,0.05,Met,True,2026-02-09,Monday,February,8
MR018,S100000053,PCFR,31C01,MR018,2/9/26 0:00,C1,,MR018,18,F18C,105608,2/9/26 0:00,105705,2/9/26 0:00,105730,105752.0,2/9/26 0:00,110304.0,22.0,S100000053,S100000053,AOS,EMS,Met,Battalion 4,Rescue,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,10:56:08,105608,10:57:05,105705,10:57:30,105730,10:57:52,105752.0,11:03:04,110304.0,22.0,0.36666666666666664,Met,True,2026-02-09,Monday,February,10
MR025,S100000054,PCFR,OOS,MR025,2/9/26 0:00,OS,,MR025,,,84928,2/9/26 0:00,84928,2/9/26 0:00,84928,84928.0,2/9/26 0:00,84928.0,0.0,S100000054,S100000054,AOS,Omit,,Battalion 1,Rescue,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,08:49:28,84928,08:49:28,84928,08:49:28,84928,08:49:28,84928.0,08:49:28,84928.0,0.0,0.0,Nan,False,2026-02-09,Monday,February,8
MR028,S100000055,PCFR,26D01,MR028,2/9/26 0:00,D1,,MR028,28,F28F,100425,2/9/26 0:00,100444,2/9/26 0:00,100525,100531.0,2/9/26 0:00,101001.0,6.0,S100000055,S100000055,AOS,EMS,Met,Battalion 3,Rescue,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,10:04:25,100425,10:04:44,100444,10:05:25,100525,10:05:31,100531.0,10:10:01,101001.0,6.0,0.1,Met,True,2026-02-09,Monday,February,10
MR033,S100000056,PCFR,06D02O,MR033,2/9/26 0:00,D1,COM,MR033,33N,F33A,91727,2/9/26 0:00,91748,2/9/26 0:00,91823,92016.0,2/9/26 0:00,92543.0,113.0,S100000056,S100000056,AOS,EMS,Missed,Battalion 2,Rescue,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,09:17:27,91727,09:17:48,91748,09:18:23,91823,09:20:16,92016.0,09:25:43,92543.0,113.0,1.8833333333333333,Missed,False,2026-02-09,Monday,February,9
MR035,S100000057,PCFR,31A01,MR035,2/9/26 0:00,A1,COM,MR035,35N,F28E,94045,2/9/26 0:00,94111,2/9/26 0:00,94128,94140.0,2/9/26 0:00,94739.0,12.0,S100000057,S100000057,AOS,EMS,Met,Battalion 3,Rescue,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,09:40:45,94045,09:41:11,94111,09:41:28,94128,09:41:40,94140.0,09:47:39,94739.0,12.0,0.2,Met,True,2026-02-09,Monday,February,9
MR036,S100000058,PCFR,26A08,MR036,2/9/26 0:00,A1,,MR036,36,F560F,103257,2/9/26 0:00,103410,2/9/26 0:00,103438,103455.0,2/9/26 0:00,104631.0,17.0,S100000058,S100000058,AOS,EMS,Met,Battalion 2,Rescue,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,10:32:57,103257,10:34:10,103410,10:34:38,103438,10:34:55,103455.0,10:46:31,104631.0,17.0,0.2833333333333333,Met,True,2026-02-09,Monday,February,10
MR036,S100000059,PCFR,OOS,MR036,2/9/26 0:00,OS,,MR036,,,84313,2/9/26 0:00,84313,2/9/26 0:00,84313,84313.0,2/9/26 0:00,84313.0,0.0,S100000059,S100000059,AOS,Omit,,Battalion 2,Rescue,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,08:43:13,84313,08:43:13,84313,08:43:13,84313,08:43:13,84313.0,08:43:13,84313.0,0.0,0.0,Nan,False,2026-02-09,Monday,February,8
MR037,S100000060,PCFR,18C02,MR037,2/9/26 0:00,C1,COM,MR037,46,F40B,102009,2/9/26 0:00,102208,2/9/26 0:00,102249,102256.0,2/9/26 0:00,103556.0,7.0,S100000060,S100000060,AOS,EMS,Met,Battalion 5,Rescue,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,10:20:09,102009,10:22:08,102208,10:22:49,102249,10:22:56,102256.0,10:35:56,103556.0,7.0,0.11666666666666667,Met,True,2026-02-09,Monday,February,10
MR042,S100000061,PCFR,12A03,MR042,2/9/26 0:00,A1,COM,MR042,42N,F33B,85607,2/9/26 0:00,85635,2/9/26 0:00,85654,85717.0,2/9/26 0:00,90344.0,23.0,S100000061,S100000061,AOS,EMS,Met,Battalion 2,Rescue,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,08:56:07,85607,08:56:35,85635,08:56:54,85654,08:57:17,85717.0,09:03:44,90344.0,23.0,0.38333333333333336,Met,True,2026-02-09,Monday,February,8
MR046,S100000062,PCFR,17D04,MR046,2/9/26 0:00,D1,COM,MR046,46,F40B,92831,2/9/26 0:00,92910,2/9/26 0:00,92946,93024.0,2/9/26 0:00,93713.0,38.0,S100000062,S100000062,AOS,EMS,Met,Battalion 5,Rescue,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,09:28:31,92831,09:29:10,92910,09:29:46,92946,09:30:24,93024.0,09:37:13,93713.0,38.0,0.6333333333333333,Met,True,2026-02-09,Monday,February,9
MR046,S100000063,PCFR,26A08,MR046,2/9/26 0:00,A1,,MR046,37,F37A,105707,2/9/26 0:00,105736,2/9/26 0:00,105802,105806.0,2/9/26 0:00,110904.0,4.0,S100000063,S100000063,AOS,EMS,Met,Battalion 5,Rescue,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,10:57:07,105707,10:57:36,105736,10:58:02,105802,10:58:06,105806.0,11:09:04,110904.0,4.0,0.06666666666666667,Met,True,2026-02-09,Monday,February,10
MR218,S100000064,PCFR,OOS,MR218,2/9/26 0:00,OS,,MR218,,,102113,2/9/26 0:00,102113,2/9/26 0:00,102113,102113.0,2/9/26 0:00,102113.0,0.0,S100000064,S100000064,AOS,Omit,,Battalion 4,Rescue,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,10:21:13,102113,10:21:13,102113,10:21:13,102113,10:21:13,102113.0,10:21:13,102113.0,0.0,0.0,Nan,False,2026-02-09,Monday,February,10
SQ007,S100000065,PCFR,OOS,SQ007,2/9/26 0:00,OS,,BR007,,,105742,2/9/26 0:00,105742,2/9/26 0:00,105742,105742.0,2/9/26 0:00,105742.0,0.0,S100000065,S100000065,AOS,Omit,,Battalion 2,Special Operations,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,10:57:42,105742,10:57:42,105742,10:57:42,105742,10:57:42,105742.0,10:57:42,105742.0,0.0,0.0,Nan,False,2026-02-09,Monday,February,10
SQ021,S100000066,PCFR,82,SQ021,2/9/26 0:00,PA,COM,SQ021,21,F930H,104949,2/9/26 0:00,105049,2/9/26 0:00,105130,105144.0,2/9/26 0:00,105144.0,14.0,S100000066,S100000066,AOS,Fire,Met,Battalion 7,Special Operations,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,10:49:49,104949,10:50:49,105049,10:51:30,105130,10:51:44,105144.0,10:51:44,105144.0,14.0,0.23333333333333334,Met,True,2026-02-09,Monday,February,10
TE007,S100000067,PCFR,OOS,TE007,2/9/26 0:00,OS,,TE007,,,102845,2/9/26 0:00,102845,2/9/26 0:00,102845,102845.0,2/9/26 0:00,102845.0,0.0,S100000067,S100000067,AOS,Omit,,Battalion 2,Tender,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,10:28:45,102845,10:28:45,102845,10:28:45,102845,10:28:45,102845.0,10:28:45,102845.0,0.0,0.0,Nan,False,2026-02-09,Monday,February,10
